trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.53577085317117,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-106.60217373609692,"{0: 15, 1: 3, 2: 3, 3: 4, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-69.7183263919386,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-82.82011319473571,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,7,-111.63796186965861,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-85.56891396975502,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-81.08052892871164,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-33.684506243667656,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-42.10357033874214,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-73.32399674581573,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-48.78268238803972,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-103.3242695462724,"{0: 19, 1: 8, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.006497514959193,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-45.39591994326695,"{0: 11, 1: 8, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-18.868943761273155,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-7.547734321926542,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-58.78080746045235,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-21.34730835803088,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-9.512496535218661,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-29.55865012572492,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-9.263089793557713,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-35.6980824798071,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-37.288916318689665,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-20.056047656319166,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-15.85698425549333,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-21.65742343190098,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-40.1938950041221,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-15.59672034286488,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-46.87518027328803,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-45.41254084973515,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
