trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",20,0,-30.052494296764884,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-141.1839373285298,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.994}",20,0,-81.39373870116668,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.992}",20,0,-84.96879748904563,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.99}",20,0,-93.25078482804862,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.988}",30,0,-183.85757181973014,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.986}",25,12,-65.28949701685498,"{0: 7, 1: 1, 2: 3, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.984}",20,0,-51.10742886456937,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.982}",20,0,-82.45019277110089,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.98}",20,0,-74.33268771638782,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.978}",30,0,-57.58525107826345,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.976}",30,0,-84.28331679587016,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.974}",25,0,-81.54624959999737,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.972}",20,1,-102.64431108437125,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.97}",30,1,-88.5377055132969,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.968}",20,0,-93.68863717851248,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.966}",20,0,-128.944471496373,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
