trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-256.87482669484604,"{0: 19, 1: 1, 2: 11, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.93071234736774,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.66441926836993,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.91180632887765,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.98946384244262,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,7,-29.743712341643153,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.96714369325755,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.9986504237791,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-33.859586471713875,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.76219060687051,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.04458601655347,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.8636411805829,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.32363841457627,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.80995278620277,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.62725784982271,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.13718443562897,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.10567336651359,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.04796341410483,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.23159612170872,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.70288610342263,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.21368435773226,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,6,-127.74081912768919,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.951368007399196,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.70656630683299,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.863471643556416,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.970351592218094,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,13,-34.34411527353646,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.94282089294995,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.72973509147832,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.35620410793823,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
